Id,Label,Assists_Donnes,Assists_Recus,Total_Assists
201935,"Harden, James",586,107,693
101108,"Paul, Chris",475,38,513
203991,"Capela, Clint",97,372,469
201569,"Gordon, Eric",125,257,382
200782,"Tucker, P.J.",96,182,278
203085,"Rivers, Austin",164,71,235
101123,"Green, Gerald",39,182,221
1627863,"House Jr., Danuel",40,99,139
202697,"Shumpert, Iman",110,27,137
202702,"Faried, Kenneth",20,94,114
203516,"Ennis III, James",0,83,83
2403,Nene,26,45,71
1629109,"Clark, Gary",18,40,58
1627741,"Hield, Buddy",0,30,30
1628392,"Hartenstein, Isaiah",15,14,29
2546,"Anthony, Carmelo",0,27,27
1626161,"Cauley-Stein, Willie",0,22,22
1628368,"Fox, De'Aaron",0,14,14
1626162,"Oubre Jr., Kelly",0,12,12
201145,"Green, Jeff",0,11,11
202357,"Bjelica, Nemanja",0,9,9
203078,"Beal, Bradley",0,9,9
203487,"Carter-Williams, Michael",0,9,9
1627737,"Chriss, Marquese",0,7,7
202693,"Morris, Markieff",0,7,7
202688,"Knight, Brandon",0,6,6
1629185,"Chiozza, Chris",4,2,6
1628963,"Bagley III, Marvin",0,5,5
1628418,"Bryant, Thomas",0,5,5
202322,"Wall, John",0,4,4
203992,"BogdanoviÄ‡, Bogdan",0,4,4
203107,"Satoransky, Tomas",0,3,3
203263,"Nunnally, James",0,3,3
203490,"Porter Jr., Otto",0,3,3
1628979,"Duval, Trevon",2,0,2
1628382,"Jackson, Justin",0,2,2
1626192,"Connaughton, Pat",0,1,1
201585,"Koufos, Kosta",0,1,1
1627812,"Ferrell, Yogi",0,1,1
201162,"Dudley, Jared",0,1,1
203093,"Jones, Terrence",0,1,1
101141,"Ilyasova, Ersan",0,1,1
1628972,"Brown Jr., Troy",0,1,1
1628421,"Robinson, Devin",0,1,1
1629033,"Pinson, Theo",0,1,1
201160,"Smith, Jason",0,1,1
1627753,Zhou Qi,0,1,1
1627786,"Williams, Troy",0,1,1
1628385,"Giles III, Harry",0,0,0
1628412,"Mason III, Frank",0,0,0
1627746,"Labissiere, Skal",0,0,0
1629053,"Edwards, Vincent",0,0,0
1628425,"Brown, Sterling",0,0,0
1628391,"Wilson, D.J.",0,0,0
1626174,"Wood, Christian",0,0,0
203463,"McLemore, Ben",0,0,0
1626155,"Dekker, Sam",0,0,0
202328,"Monroe, Greg",0,0,0
203895,"McRae, Jordan",0,0,0
2730,"Howard, Dwight",0,0,0
1629066,"Kurucs, Rodions",0,0,0
1629058,"Musa, Dzanan",0,0,0
101133,"Mahinmi, Ian",0,0,0
1626203,"Graham, Treveon",0,0,0
1626178,"Hollis-Jefferson, Rondae",0,0,0
203915,"Dinwiddie, Spencer",0,0,0
1626156,"Russell, D'Angelo",0,0,0
203894,"Napier, Shabazz",0,0,0
203459,"Crabbe, Allen",0,0,0
202334,"Davis, Ed",0,0,0
201960,"Carroll, DeMarre",0,0,0
